,sigma,SP3 (LIN),SP3 (BR),SP2,Ring,V_m (nm3),Eccentricity(Ear),Eccentricity(Eal)
Run 27,0.08294405247532284,0.06549675704094103,0.02170335406362907,0.14153484453941162,0.033823874357200266,0.4390522466392602,0.12737546472087316,0.08806940616336188
Run 28,0.05248208494931636,0.07357630889067657,0.019668593959693243,0.2443223498173724,0.021296323614227033,0.37075218549205163,0.12070141167198789,0.09720074160467473
Run 29,0.06841054428221117,0.05723579361493795,0.023052047909951114,0.16173589899960306,0.023247661917311823,0.4218836116705003,0.13409865248658615,0.11033578911889853
Run 30,0.09780840985915329,0.06224245026018199,0.01929244319811785,0.18937536722413242,0.02449717071152293,0.31099558258594145,0.21199928088374206,0.08378929527720803
Run 31,0.10002431848650098,0.08058220086260319,0.012415209767109739,0.16957970960830007,0.03179956821457603,0.35613037221174815,0.1608927675618452,0.08857585328731675
Run 32,0.07300682863312295,0.06711475540751838,0.01878763259207979,0.22072813253214854,0.030605802669709373,0.3665471441163589,0.14837524311591826,0.07483446093314378
Run 33,0.09736342813492897,0.06713868178122655,0.01197018632814654,0.16946720258107148,0.035705346078581175,0.34322390028010197,0.16812034495693773,0.10701090985900556
Run 34,0.06164591632138937,0.09418137608505207,0.019474247474964294,0.17002659999099992,0.04954707113391246,0.3907306327168736,0.13101186663243458,0.08338228964437379
Run 35,0.0748904411692467,0.08615662921625114,0.016334857473670347,0.1982476885871688,0.04764147149175774,0.3647623466280945,0.11887450011333195,0.0930920653204789
Run 36,0.06991714592969209,0.0824585888196743,0.023759923098316107,0.18266676651814115,0.022131376828402983,0.3643518444282323,0.14063664350914812,0.11407771086839298
Run 37,0.08423792322939681,0.06287211515772051,0.014266770540425903,0.1689557594262331,0.028219974397792523,0.3714710022592611,0.1787092237878497,0.09126723120132044
Run 38,0.07354384082236037,0.09051904409161911,0.02095956758278947,0.16413923560097382,0.03765627593303847,0.364826696733149,0.13185826515653012,0.11649707407953959
Run 39,0.08913748670722739,0.07531237939473452,0.02084170084510233,0.16251718594703438,0.032687847402602666,0.3680087042992089,0.16127200958405477,0.09022268582003504
Run 40,0.08811049529000697,0.08294810652016484,0.021038569121643376,0.13337345277887433,0.030962706298910608,0.37677906091505403,0.15166401503925295,0.1151235940360929
Run 41,0.08212503810552844,0.06210883707090254,0.021768463218845343,0.15663647680545875,0.023960823430804187,0.4058387508894657,0.14331995049657606,0.10424165998241888
Run 42,0.06924735599636578,0.0728460570375187,0.017185328961741228,0.22674422430954203,0.01779455283500679,0.4446395574025842,0.09114763299894103,0.060395290458300194
Run 43,0.04213913073848491,0.06614856864605495,0.01734104627677975,0.24733033185944045,0.021746634065411018,0.4295353471344978,0.10972684702557886,0.06603209425375231
Run 44,0.0592259005980782,0.0732626552721959,0.02650990141946762,0.20612629345286854,0.027228784292944244,0.4014213655381987,0.1154818100804781,0.09074328934576875
Run 45,0.10597258004400022,0.06934359082368705,0.026801750844196826,0.14837133161306013,0.02888495371669165,0.3855040054042152,0.15528084824257712,0.07984093931157187
Run 46,0.09778111495170583,0.1007200991479073,0.024958490714127816,0.12452142039255788,0.026991900440942466,0.3776274289191941,0.13900391751899852,0.10839562791456603
