,sigma,tau,V_m (nm3),Eccentricity(Ear),Eccentricity(Eal)
Run 24,0.1475064192877097,0.12888148792781823,0.4380549975985433,0.17053278580307485,0.1150243093828539
Run 25,0.15844168226829855,0.140259459826848,0.39425285451865877,0.19798111736993504,0.10906488601625965
Run 26,0.16002782783198033,0.13712606298363547,0.43063115219481973,0.14750875046690504,0.12470620652265942
Run 27,0.13359585078113917,0.13220328802538672,0.4181909731819231,0.19652429797859725,0.11948559003295375
Run 28,0.15991604716940308,0.12238779019807115,0.36118552127338405,0.2288401983288333,0.1276704430303084
Run 29,0.16929810670235007,0.09675158565686102,0.4165915444247919,0.18014362890763752,0.1372151343083594
Run 30,0.1323375681176925,0.1430424607576795,0.44735066551833347,0.18857473487724782,0.08869457072904685
Run 31,0.15045650215161702,0.12719316789341784,0.43572129656029807,0.18663036604176594,0.0999986673529012
Run 32,0.12035721054548663,0.15470419331442134,0.378965777338805,0.19532990079484855,0.15064291800643853
Run 33,0.15334468851188862,0.1546957025067828,0.32028307664129807,0.2560708694266096,0.11560566291342096
Run 34,0.14403158687307932,0.1159382928308487,0.4256291018875525,0.2247708701042654,0.08963014830425405
Run 35,0.15119580852182607,0.13421248019588577,0.3934461613529008,0.18267452354705382,0.13847102638233363
Run 36,0.10327053030576332,0.11188818420094256,0.4236192802828389,0.25102707618047876,0.11019492902997655
Run 37,0.1173426199865215,0.12561872780746045,0.4162684433111466,0.21539517036945768,0.1253750385254138
Run 38,0.16729729260315412,0.14154669919564367,0.4155615268208882,0.16377807208489406,0.11181640929542001
Run 39,0.08364383971204238,0.1385578291683065,0.39901237811224305,0.2572306223167725,0.12155533069063566
Run 40,0.09822936520494235,0.15123383569564658,0.4084111735713001,0.2188038757951809,0.12332174973293007
Run 41,0.12135648929965222,0.08160275994930352,0.39410841429586985,0.2965327267878477,0.10639960966732664
Run 42,0.1509229120712982,0.14058400662960327,0.38144536644662486,0.20026296368798985,0.12678475116448373
Run 43,0.0664678103757841,0.17542248917606204,0.4303911028269896,0.2026393820098826,0.12507921561128169
Run 44,0.11053694533721725,0.12473420547376574,0.436498340178184,0.22625704812033798,0.10197346089049489
Run 45,0.1250055503197886,0.13041008716703742,0.45044185021865357,0.17695910669847942,0.11718340559604104
Run 46,0.1409107873046753,0.13973872478630067,0.4974137916757081,0.14765862017369294,0.07427807605962312
Run 47,0.10949110684059246,0.11366521247785566,0.4351732974951549,0.22014825163664115,0.12152213154975594
Run 48,0.12590136285258827,0.11387245841716907,0.4295221843491452,0.18073177358683146,0.14997222079426592
Run 49,0.14151541799303133,0.11069590778965466,0.3767559604292595,0.2424152503817868,0.12861746340626778
Run 50,0.10597087264460578,0.18393537237366725,0.4719498097747315,0.1380179970853416,0.1001259481216539
Run 51,0.1266553383664027,0.12171594401980988,0.4266460647863562,0.210428744996249,0.1145539078311822
Run 52,0.1299195521414727,0.15049241835900112,0.4563517693754208,0.15970780861340955,0.10352845151069588
Run 53,0.1453915811199322,0.15792187373436095,0.39743289431840767,0.1542392855216205,0.14501436530567868
Run 54,0.1059362259927229,0.12824719385277716,0.4666458642154004,0.178591022519256,0.12057969341984362
Run 55,0.13536041356284165,0.10014171259645818,0.4441500216820808,0.2218176984254465,0.09853015373317281
Run 56,0.15498509084030615,0.10777336483199768,0.33346600922342673,0.26330193212023756,0.140473602984032
Run 57,0.16686722485441344,0.13418302230527918,0.447479741648593,0.1405518441397783,0.1109181670519361
Run 58,0.17802343418345923,0.12594744382459397,0.4586985609391844,0.15113564032965962,0.08619492072310286
Run 59,0.06229761237952208,0.14236550093603326,0.5495451894966618,0.1400603047156947,0.10573139247208814
Run 60,0.1305750751705254,0.10723021753884637,0.42284137462892446,0.2034190545490264,0.1359342781126775
Run 61,0.18926246443708294,0.11783840188997853,0.41456088877910663,0.15392253808471704,0.12441570680911478
Run 62,0.16076327642739366,0.12070807458866692,0.4131243802778922,0.2093384259679781,0.09606584273806894
Run 63,0.156707338426179,0.12007315314533665,0.3822607038076556,0.2455771415517467,0.09538166306908191
