,sigma,SP3 (LIN),SP3 (BR),SP2,Ring,V_m (nm3),Eccentricity(Ear),Eccentricity(Eal)
Run 36,0.12399113190198856,0.06319217262634708,0.0301383452322305,0.025928142727242785,0.021256565836379304,0.4281036836292497,0.2234684374334147,0.08392152061314738
Run 37,0.13360532182287246,0.06818968038742197,0.040440846823438695,0.028666029239970716,0.022954067446681315,0.38309439751693475,0.21618090285267527,0.10686875391000486
Run 38,0.10503484454123481,0.07861345651891824,0.04345412981154946,0.03294007094361853,0.01616986989541571,0.5000864161596283,0.15118510291209328,0.07251610921754177
Run 39,0.13144896385244048,0.08544917032917151,0.03258082328941367,0.033747961010704514,0.031035818082693532,0.37201585918598956,0.1679466565393785,0.14577474771020818
Run 40,0.15452927166119518,0.08498640919406625,0.04147437517519403,0.02710662341332092,0.02283286195475707,0.434127016312052,0.15357675009845362,0.08136669219096088
Run 41,0.14121560883973142,0.07815952794297655,0.04680114228962611,0.02893212534318552,0.023621416324862195,0.37379038749231974,0.16294555393851862,0.14453423782877983
Run 42,0.11730110436604059,0.08112937450051666,0.05702440011661188,0.03280184552158963,0.019472701381073963,0.4261809907498567,0.17335585501148162,0.09273372835282892
Run 43,0.130065946244855,0.07598240141961941,0.028186983438296436,0.025618389686882622,0.014232159401120088,0.46085195791260763,0.15892327515047983,0.106138886746139
Run 44,0.06765011892313683,0.0862483831619855,0.054623313069950996,0.028952480016928055,0.02080972779430223,0.4323873572087191,0.1999457122683197,0.10938290755665743
Run 45,0.12208565399851404,0.08944213001987224,0.05398734003507552,0.021871718876113562,0.014903015501555589,0.4076493029744415,0.17263248113992924,0.11742835745449817
Run 46,0.15127352665807642,0.09163793329933731,0.04963959648735028,0.024951876726993276,0.017674758094325033,0.31520975352057373,0.21506204902619272,0.13455050618715128
Run 47,0.1333910721740424,0.0843859161657617,0.020524008844314066,0.02598377510929113,0.01773170636419703,0.37502011514488365,0.19499483222366457,0.14796857397384552
Run 48,0.13983094298402915,0.05686790634426494,0.0391463579638309,0.030401903383113583,0.017807922787563744,0.4449458500250216,0.14855193862055027,0.12244717789162586
Run 49,0.11569300267859556,0.09433447717080157,0.0499809654047026,0.029286461794494362,0.03592911931264372,0.3770879705404212,0.18805837685817262,0.1096296262401685
Run 50,0.14177432022773026,0.06456284883678502,0.045845968589975576,0.027946495458931343,0.023605686384646815,0.3435274185270766,0.23167026973390686,0.12106699224094755
Run 51,0.11187932800759766,0.08789520661348478,0.03482644201291026,0.036493695817137975,0.027124192129599045,0.3797070045141242,0.2104941982870058,0.1115799326181403
Run 52,0.1379956607081975,0.09181218615278955,0.0647167622548226,0.03211418513791974,0.02936337389595917,0.3703313080599234,0.15584999269201344,0.11781653109837459
Run 53,0.13792713410788157,0.05687111311490138,0.024387155214422813,0.03434781806478693,0.02727554196142987,0.41176395562260804,0.18284918300669295,0.12457809890727643
Run 54,0.1376306542454102,0.05465669828754977,0.04848946202374568,0.034531396361527245,0.020651245029632687,0.38635456858830186,0.22088409396262312,0.09680188150120933
Run 55,0.15402507914726446,0.0694884026507198,0.051353768339183196,0.03186058199817995,0.024178628558380745,0.3737559130795262,0.17279298576449598,0.12254464046224971
Run 56,0.07871265316706173,0.1080791882328733,0.06836325591437993,0.027340792636803706,0.020785035370020934,0.42749933025718106,0.19011977548525963,0.07909996893641971
Run 57,0.10688369033547611,0.08657606619342718,0.03634261250851903,0.02821527274804462,0.022283172082922454,0.46626003081893297,0.1630068488509397,0.09043230646173792
Run 58,0.1353442119638201,0.08520927615102147,0.048659941267518,0.013491969487356148,0.01872171339487742,0.4762516414705198,0.1410534073602952,0.08126783890459188
