,sigma,tau,V_m (nm3),Eccentricity(Ear),Eccentricity(Eal)
Run 25,19.401435158890713,-19.34169413517563,20.498418787231365,8.718282672519633,5.836210747056556
Run 26,14.334900890754461,-22.69092071531052,22.473064108559804,3.5209834970756155,-1.4761725140246977
Run 27,15.289403510272349,-20.479944840501236,20.418132956093906,7.725848121852938,2.189930323936992
Run 28,13.218182526358268,-31.808131366178703,26.433054268560415,7.9595734474453685,-0.8373224454648663
Run 29,15.80206236248384,-24.671369430810103,18.6424423049061,6.857270953051928,3.6885420018852386
Run 30,16.583177874193982,-26.709171714686484,28.611677365886237,-0.36086304525011903,-5.652659201360801
Run 31,16.594274108160544,-19.93417404192891,19.616773666244967,1.9498715022638553,2.1326317784010476
Run 32,17.41702970879293,-19.28317396395598,12.171530327820731,10.89425622217164,6.660628044683659
Run 33,11.272664089000083,-23.039476207174204,15.588091664922654,4.241869550305071,-5.0233475425837115
Run 34,15.738205364859974,-21.266749512463182,15.170537989799945,9.579005947785395,6.37165099337765
Run 35,17.318518417288548,-19.185796639375422,19.1435859032696,8.886735336103168,3.1970234090169316
Run 36,14.101882416478972,-20.652115557312246,12.564260298641427,10.49875387044103,6.927051066271027
Run 37,15.735473600785634,-24.076601150509223,21.027003437202744,3.9139050495351015,0.9322605661725443
Run 38,15.680020478336115,-19.95837653845187,17.53102117540658,5.0547420528792735,3.2472488684789904
Run 39,13.601142471443818,-18.51781907440246,15.338194324713724,10.46734681241151,6.264213068391998
Run 40,15.205755406938831,-22.419633671069203,17.43547752118456,5.9075608367418,2.4062187272053936
Run 41,18.540361719694655,-27.80436183731043,24.219346289336393,14.346484919488807,3.0562498474275865
Run 42,13.644112589017448,-22.039720380122194,16.304898700879118,7.27678444221594,3.3421487642809677
Run 43,14.93830772138568,-22.68286031290306,18.5780611329855,3.5571800845262866,2.715166697374079
Run 44,16.216128071822325,-22.722642450005782,14.339583789852941,14.609730466501752,7.463077024000523
Run 45,13.033738004280393,-20.197800801363986,20.776725342574775,-1.5820322757385799,-1.4819954685035737
Run 46,14.716893071497683,-23.28418345935422,16.100688902192136,5.946591021209144,3.5924270710651793
Run 47,13.12492512734964,-22.631744727884495,17.665028012287983,3.824299985153876,-0.6751771413111155
Run 48,17.652369735259594,-22.23469563840066,17.747168815885264,11.312474673526348,7.384292966707884
Run 49,13.556781522090727,-21.456806407288493,14.821381751302942,4.811038802140863,5.962211679040885
Run 50,13.255223711467464,-25.452327798880333,16.874916783241364,9.301245498409875,5.010912661709076
Run 51,15.132388597869676,-24.525017805272324,20.71096545036919,4.307918120952713,1.0029414819015552
Run 52,15.953511627242538,-23.01330752695396,23.77499896882939,9.499632842280043,-0.6582227150545024
Run 53,17.37975610930199,-22.840775732486595,17.68466384964762,6.962859553423476,4.381956236800413
Run 54,18.576819434023268,-21.08265333121112,17.305510816451616,9.901717900443366,4.214716167859245
Run 55,13.419059138528212,-27.069606758703877,20.701430282216272,5.169267056398543,0.8029265907258252
Run 56,10.523146000344692,-25.714541856154764,22.920794540091077,4.8252484375920135,0.6351677813686095
Run 57,14.634594391367097,-24.029334656481122,24.65306669544891,3.7377678787558946,-3.589051740275353
Run 58,17.045397906522123,-23.142672059794126,22.099523393895296,7.060743667420648,4.147460702554525
Run 59,14.960023789117828,-21.21609865261822,19.55128793486741,-3.3406917335061337,0.07326568696895852
Run 60,15.449565525226525,-21.569524772878182,17.71746287791609,11.76104196091012,6.100212253522959
Run 61,15.860883346327325,-18.41206751540206,17.84267409550936,5.506308853295712,3.595382724654307
Run 62,18.8281486110964,-22.009028697663553,20.94950307881839,9.603001760067624,5.862840189134186
Run 63,16.827407114254413,-18.221042690302582,17.721799228303915,8.849168404626631,-0.243218220661715
Run 64,15.008804026132529,-20.84251859439215,16.937251061746736,5.891767171569978,3.6050330751134094
Run 65,12.552161307874409,-17.418828171416695,12.915340116709633,6.325974156625242,4.280537789268969
Run 66,17.139783311266214,-21.285216392194435,13.734893420699574,8.372553327841556,3.6563679006873113
Run 67,12.028259844283767,-25.061666586575168,21.73590982466825,2.3675515687657054,-2.415391054290512
Run 68,16.395764747978575,-19.353396760217052,11.039516806735953,7.312310173158596,5.995424604620057
Run 69,15.623105916664192,-22.41607915402878,24.386916223825548,1.28754437371817,-3.4615144469128
Run 70,15.59225638548437,-25.500505208521975,20.41828554447999,8.171214428016565,6.004612787561978
Run 71,13.805042240893,-25.69441396610891,20.59226472715908,3.6861372823038954,-4.692524339098122
Run 72,13.462417730756888,-29.13290154133461,32.749305904454715,6.834660413458432,-6.83506488368413
Run 73,12.510171811026416,-28.739669874594252,25.250173011888247,6.9594374291729135,-1.9575835417266496
Run 74,11.463907870845679,-21.664053397003492,17.066854046626013,1.6475450030259964,-1.0983165548701899
Run 75,16.26236738728581,-27.075566139260154,23.42760224035927,9.249452330096524,1.6022813416313424
Run 76,20.233964116117335,-27.251885432335012,27.50539723204095,9.207089701614041,0.1505509466248797
Run 77,9.930157615861921,-27.493503403164237,21.663646751235056,5.370210355421278,-1.0564250818875724
Run 78,16.476015846488735,-21.817751737104764,19.945776032819662,8.42151101334253,4.72324359577306
Run 79,12.545789490969083,-27.717623425228595,23.34984654096395,4.489199688197982,-1.1705625442277419
Run 80,16.08820689921569,-25.94321185482635,21.28407084972508,10.936642152502266,-0.6271885557200839
Run 81,14.07119798758188,-22.299974121218863,22.201213516425767,7.787602811268515,-0.42544790472576977
Run 82,13.685259581710833,-23.80737717342695,19.703803702353614,2.309091956093192,0.7271301061791726
Run 83,13.706965906254114,-25.596080054414163,24.0862895825737,5.732590076242188,-2.938022535764781
Run 84,15.360200359711648,-20.363353591929453,10.605628884059684,9.903849203068413,9.688441353693717
Run 85,13.118487707070498,-22.078139700509396,18.724385097000294,6.255699704163776,0.5361352940820628
Run 86,14.575571941417827,-23.078111680991075,15.685379886384114,6.915682725833649,5.936990527879805
Run 87,15.089427718452706,-20.765691991567536,14.516350186360503,4.920088084225605,2.473169179993387
Run 88,12.788004512234096,-23.298010026161624,20.622404914107673,5.447493154522084,-1.3134609839129874
Run 89,11.070124789482936,-24.280169182824014,14.447132967070727,3.9365825887071426,3.204892254150791
Run 90,10.361992686349502,-24.687185786993645,15.67079462754212,6.519975668640181,1.9149441682916055
Run 91,15.438408299335268,-17.742526937443753,19.223146863745733,3.890896420591543,0.9789837283390873
Run 92,18.37266539310631,-22.85243055222503,22.14302523666798,2.9250393867043507,1.351576087672203
