,sigma,tau,V_m (nm3),Eccentricity(Ear),Eccentricity(Eal)
Run 49,0.11494938808088205,0.20767113371340246,0.47308340437737695,0.1312648899186745,0.07303118390966398
Run 50,0.09581033682320346,0.17016673798703086,0.4285703259853786,0.18086069879531005,0.12459190040907706
Run 51,0.0998411414724071,0.18211869712456671,0.41978884401754013,0.2093275868627331,0.08892373052275294
Run 52,0.07796679447546219,0.21760962975131887,0.5051134280616209,0.14674846596983357,0.052561681741764454
Run 53,0.101976024865184,0.18514903980367636,0.4329411437448049,0.16579063968861624,0.11414315189771844
Run 54,0.10973322206899208,0.16906891642401456,0.42073789095712105,0.18739795058488054,0.11306201996499168
Run 55,0.1103132523157368,0.18239198151327812,0.45871122391632346,0.15818658652181455,0.0903969557328471
Run 56,0.084228098082179,0.21593762385385398,0.44247677215237396,0.13300473337450733,0.12435277253708575
Run 57,0.09475976108597975,0.21007937175725805,0.38240709962263464,0.19287895865231536,0.11987480888181223
Run 58,0.09252806693601152,0.18049683951421971,0.49660077611418263,0.14680381687473848,0.08357050056084771
Run 59,0.1257000382270883,0.1514645939777248,0.37507578490357296,0.20881378787612856,0.13894579501548546
Run 60,0.08719116843366624,0.19232356117569274,0.4223600760488077,0.2149158238673689,0.08320937047446449
Run 61,0.06977384580554132,0.19467321826499492,0.42804808340318107,0.18091332921943365,0.12659152330684906
Run 62,0.11795486414341017,0.17723381960199616,0.42341316322162625,0.21971371882470048,0.06168443420826697
Run 63,0.13319477493218426,0.15514313159730386,0.4068721004647508,0.1735753878853857,0.1312146051203755
Run 64,0.1148576498147006,0.19011283444719657,0.3725816696545175,0.19983989006815103,0.12260795601543428
Run 65,0.11295512887314138,0.18788860334815377,0.46822917819030707,0.15077654348880998,0.08015054609958788
Run 66,0.11085344524487299,0.15042046361777123,0.4554822795074077,0.1898037804165427,0.09344003121340545
Run 67,0.1259924355990177,0.11613158875616816,0.4011882465872484,0.25326596368685045,0.10342176537071528
Run 68,0.060190713220526756,0.2342829966146944,0.4910904835650978,0.12898426336507882,0.08545154323460204
Run 69,0.12158478317748735,0.17976679789575745,0.37549550544133353,0.18404245881061332,0.13911045467480834
Run 70,0.0951594441054918,0.1701303210553125,0.4258286958387421,0.22827013452641529,0.08061140447403826
Run 71,0.07328342114730486,0.16303790502525592,0.40809386336519216,0.20927948067276358,0.14630532978948343
Run 72,0.10407441756144052,0.1662988740096408,0.4383764583949434,0.1692868295936958,0.12196342044027947
Run 73,0.08938969358134186,0.18022115051851417,0.4284012656940508,0.203142082811257,0.09884580739483616
Run 74,0.11169158206865255,0.22483665287839563,0.42981685046343276,0.14220257535445227,0.09145233923506682
Run 75,0.12259602575804657,0.17191900363518195,0.3977423645890875,0.19976063904767655,0.10798196697000727
Run 76,0.055472682684396576,0.23316216075220564,0.46638760390606476,0.11884131620815926,0.12613623644917388
Run 77,0.12457080877803874,0.17539545640765258,0.4366852691429859,0.160453433130028,0.10289503254129478
Run 78,0.09202607406094161,0.22385999655502536,0.48959735097071355,0.10531324577851874,0.08920333263480078
Run 79,0.10578595342300894,0.213895679500171,0.42977825270677333,0.15404686730233247,0.09649324706771434
Run 80,0.08887396803252286,0.18631205091167044,0.40410768765466254,0.1876734880915202,0.13303280530962386
Run 81,0.09448181439009265,0.13937717816363274,0.42925529395619055,0.2201349181665396,0.11675079532354456
Run 82,0.07083622039286505,0.20581375695003726,0.44286894448150466,0.1757136508672167,0.10476742730837628
Run 83,0.09264344355828688,0.21348635585488843,0.40878060203117306,0.15632755676992688,0.1287620417857248
Run 84,0.08350039254713698,0.21338814812219298,0.4619226913753045,0.15408398682566687,0.08710478112969883
