,sigma,SP3 (LIN),SP3 (BR),SP2,Ring,V_m (nm3),Eccentricity(Ear),Eccentricity(Eal)
Run 19,10.53299006455727,-13.90939847590086,3.0986059622958355,3.4503062637270547,-19.440185328526596,12.418743302618031,36.46381373464994,17.274374509201103
Run 20,15.949022998961967,-6.348298294658791,1.1946652700627394,5.804767498223969,-17.069795489651064,1.513912527690046,34.34543858908252,20.304102606665744
Run 21,16.0417841247662,-9.749492457951414,3.237511882869791,4.18393165911029,-20.992630820797828,10.36759981542166,32.68050507818652,17.229574670759625
Run 22,14.658528139452075,-7.753023120353699,3.128805255566434,4.87998326461216,-19.074389849218687,3.057613265278497,31.130948767368267,23.84523462277619
Run 23,18.241372477790556,-8.61850393363683,0.9346981395610987,3.0248282420225845,-17.82669257164108,2.880335558486548,34.20724575198061,23.87869911833517
Run 24,22.348364454555966,-8.123511731977903,2.089195083393186,2.299497068564977,-15.540350567849979,8.773078213021659,30.48570125511531,11.960425128237006
Run 25,10.976543317993537,-11.258708368989392,1.9429548377997534,0.7300452363487355,-15.512864245501195,14.973783308802629,22.795968161318616,14.549011637801105
Run 26,14.09001048256799,-11.757719427684483,3.8508114797986868,7.919269538547862,-20.279488481208713,9.686271043365533,28.469385680001476,18.45904693644378
Run 27,20.771441280069446,-8.756635786933504,-2.9978617317261316,4.681787434819378,-21.225415464574564,12.26120068234338,31.243098486790945,22.71648473011646
Run 28,11.978308978975106,-2.983388477884799,1.3289204703094737,10.749105020264958,-18.596800264556705,-2.9155536442553283,29.47734662951625,27.108245368614583
Run 29,11.809077895409509,-9.203182780225168,3.8788755035741245,5.2387922654773,-19.0634562592378,10.451293439514664,35.68972332057909,17.803336315052906
Run 30,22.009083493423063,-11.219297617525433,-5.189530566707795,-0.6832305069007572,-25.020491879080208,24.45879495782647,26.238158830474895,11.67156408765208
Run 31,15.088326250685364,-11.372914534799333,1.4413488806477563,7.117001165206158,-25.475732314162315,11.298466542771727,36.15475175508646,20.817510629782106
Run 32,17.43568506468033,-3.0274131753113114,-0.6915587551176546,5.275498495952283,-20.23179803707987,-0.49823567537072866,35.977055336618456,24.169509806500916
Run 33,17.71018157917136,-8.454327468169934,0.9288700961250672,4.310226528708581,-18.683798541606063,9.36627964616469,32.290280733741525,12.798634211776744
Run 34,14.128014648435778,-8.007631246945566,3.921741052119015,7.4158646890274,-21.68077431668034,4.740566101868778,34.630723704656965,19.718348322348145
Run 35,20.44681246877581,-9.015085827345695,2.883154700983389,2.232860460522358,-15.98226672765189,15.966736583850386,21.405054976442344,12.959317700837195
Run 36,14.937224953740976,-14.255388008929097,5.269017323036229,6.171959588932727,-26.147823609332704,15.62792217416248,32.81484133121806,15.983618198298577
Run 37,15.077416338557802,-9.006451994587957,3.7266052829791847,3.635299130822836,-17.44888848665919,1.4518705895480266,34.402554080031436,21.410057744697458
Run 38,18.554007932105808,-9.650162791648066,2.1083723091327164,3.1446276241940394,-17.911799379886254,10.968988185200304,26.330718755821266,13.076212120087291
Run 39,15.199708719111586,-10.5217173165024,5.3113817517994,5.061575527088923,-23.71843412214575,10.28299477809225,31.853421883133137,17.203089365563866
Run 40,17.38160879184802,-13.900888081603522,2.139087963688089,4.209893475390676,-20.911386847741497,18.77389327042539,33.439849348725616,16.724481167312135
Run 41,13.433087907166176,-9.158003602083852,-0.03189484665289643,4.660256158072708,-14.278321753353389,5.73246978875169,26.825981544786384,19.58395014645683
Run 42,16.115755581833493,-8.449369620371755,3.104615017986989,1.702097754324878,-18.957300734295384,11.610852148231638,27.587681724037616,16.357379876716596
Run 43,17.868410382812005,-11.609303722563553,3.9281749321042563,3.6939679768607685,-16.447633301859074,13.099708855259278,30.874427437263545,17.510287183669654
