label,w,w_abs
ATSC0v,-1.0556982457736752,1.0556982457736752
ATSC1v,-0.8542545433476497,0.8542545433476497
ATSC2v,-0.640658773741364,0.640658773741364
ATSC3v,-0.6526867930277167,0.6526867930277167
ATSC4v,-0.5302362066080316,0.5302362066080316
ATSC5v,2.0834534715136024,2.0834534715136024
ATSC6v,-0.8794984431320728,0.8794984431320728
ATSC7v,-0.5443885229871845,0.5443885229871845
ATSC8v,1.6080831685305286,1.6080831685305286
ATSC0se,1.985057631470383,1.985057631470383
ATSC1se,0.34635568976408526,0.34635568976408526
ATSC2se,-1.1091856928482213,1.1091856928482213
ATSC3se,0.14106281671414847,0.14106281671414847
ATSC4se,-0.9517091227659796,0.9517091227659796
ATSC5se,-1.5383311088317209,1.5383311088317209
ATSC6se,1.410105318914126,1.410105318914126
ATSC7se,-1.5138265932068449,1.5138265932068449
ATSC8se,-0.6618758450236611,0.6618758450236611
ATSC0pe,1.4948212178404443,1.4948212178404443
ATSC1pe,0.01034869881284761,0.01034869881284761
ATSC2pe,0.10408489464358886,0.10408489464358886
ATSC3pe,-1.0098459870348298,1.0098459870348298
ATSC4pe,-1.074221391326183,1.074221391326183
ATSC5pe,-0.22031466717055545,0.22031466717055545
ATSC6pe,-0.9810455543426343,0.9810455543426343
ATSC7pe,-0.6143780999499455,0.6143780999499455
ATSC8pe,0.7731123151690833,0.7731123151690833
ATSC0are,1.2386158205746065,1.2386158205746065
ATSC1are,0.08898852980444619,0.08898852980444619
ATSC2are,-0.4723347169026396,0.4723347169026396
ATSC3are,-0.3123779158202414,0.3123779158202414
ATSC4are,-2.11590185153438,2.11590185153438
ATSC5are,0.1557332146054159,0.1557332146054159
ATSC6are,-0.8932730022123297,0.8932730022123297
ATSC7are,-0.6640113590417192,0.6640113590417192
ATSC8are,1.4536190079532003,1.4536190079532003
ATSC0p,-0.23852668959087311,0.23852668959087311
ATSC1p,-0.8815581008213559,0.8815581008213559
ATSC2p,-1.1714454311013447,1.1714454311013447
ATSC3p,0.48953388726648633,0.48953388726648633
