Compound,Chemical Name,sigma,tau,SP3 (LIN),SP3 (BR),SP2,ROT,Ring,V_m (nm3),1/V_m,r_m (nm),T_m (K),T_m range (K),Eccentricity(Ear),Eccentricity(Eal),T_m Source,Link for V_m,,,,,,,
,"Methyl 1-(4-[(S)-2-(methoxycarbonyl)pyrrolidin-1-yl]-3,6-dioxocyclohexa-1,4-dien-1-yl)pyrrolidine-2-carboxylate",2,3.5,2,0,2,,3,0.451035,2.21712284,0.475744612,464,463-465 ,6,11,788441,,,,,,,,
,"2,6-bis(phenoxymethyl)benzoquinone",2,4.5,4,0,0,,3,0.389245,2.569076032,0.452944313,414,413-415,18,1,253448,,,,,,,,
,"4,8-dioxo-4,8-dihydrobenzo[1,2-d:5,4-d']bis[1,2,3]dithiazol-6-ium-3-ide",2,0,0,0,0,,1,0.1967575,5.082398384,0.360811936,400,,4,8,1566903,,,,,,,,
,"3,6-bis(n-Butylamino)toluquinone",1,7.5,8,0,0,,1,0.3678075,2.71881351,0.444471573,381,,6,1,1170015,,,,,,,,
,"2-Hydroxy-3-isopropyl-5,6,6a,7,8,9,10,10a-octahydro-7,7,10a-trimethylphenanthrene-1,4-dione",1,0.5,0,1,0,,1,0.417695,2.394091382,0.463721134,454,,5,9,1171098,,,,,,,,
,"2-Methoxy-1,4-benzoquinone",1,0.5,1,0,0,,1,0.15834875,6.315174575,0.3356155,407,,6,1,1174346,,,,,,,,
,"2-Methyl-5,6-dimethoxy-4,7-benzofurandione",1,1.5,2,0,0,,1,0.252775,3.95608743,0.39223695,400.5,400-401,9,1,1174662,,,,,,,,
,"N-(3,6-Dioxocyclohexa-1,4-dien-1-yl)-N-phenylacetamide",1,1.5,0,2,0,,2,0.3049575,3.279145455,0.417558091,420,418-422,12,1,635796,,,,,,,,
,"2-Hydroxy-3,5-dimethyl-6-hydroxymethyl-1,4-benzoquinone",1,0.5,2,0,0,,1,0.218325,4.580327493,0.373541008,394,,6,1,1177000,,,,,,,,
,Ilimaquinone,1,2,2,0,0,,2,0.48228,2.073484283,0.486485852,386.5,386-387,6,11,1180094,,,,,,,,
,"5-Chloro-2-(pentamethyldisilanyl)-1,4-benzoquinone",1,1.5,0,2,0,,1,0.364695,2.742017302,0.443214269,347,,6,1,192721,,,,,,,,
,"2-Chloro-5-(trimethylsilyl)-1,4-benzoquinone",1,0.5,1,0,0,,1,0.26851,3.72425608,0.400212472,371,,6,1,192722,,,,,,,,
,"1,1,7,7-Tetraethyl-3,3,5,5-tetramethyl-2,3,6,7-tetrahydro-s-indacene-4,8(1H,5H)-dione",4,3.5,4,0,0,,1,0.5265775,1.899055695,0.500946365,398.5,398-399,4,8,808188,,,,,,,,
,Mycenon,1,0.5,0,0,2,,1,0.29439,3.396854513,0.412678156,391,,6,1,1186135,,,,,,,,
,"(12bR,P)-9,12-Dimethoxy-5,7,8,12b-tetrahydrobenzo(c)phenanthrene-1,4-dione",1,1.5,2,0,0,,1,0.386625,2.586485613,0.451925771,438,437-439,11,8,656486,,,,,,,,
,"(12bR,M)-12-t-Butyl-5,7,8,12b-tetrahydrobenzo(c)phenanthrene-1,4-dione",1,0.5,0,1,0,,1,0.42055,2.377838545,0.464775267,461.5,461-462,11,8,656487,,,,,,,,
,"6-Pentyl-2,5-bis(2-phenylethylamino)-1,4-benzoquinone",1,10.5,10,0,0,,3,0.584875,1.709767044,0.518789865,384,383.5 - 384.5,18,1,1197728,,,,,,,,
,"2,5-bis(p-Tolylvinyl)-1,4-benzoquinone",2,2.5,0,0,4,,3,0.44956,2.224397188,0.475225443,498,,18,1,1204512,,,,,,,,
,"2-(4',4',5',5'-Tetramethylimidazolin-2-yl)-1,4-benzoquinone-1'-oxyl-3'-oxide",1,0,0,0,0,,2,0.3383225,2.955759667,0.432262364,376.2,,6,5,1206518,,,,,,,,
,"6-Methoxy-2-methyl-3,5-dihydro-benzo(b)furan-4,7-dione",1,0.5,1,0,0,,1,0.212185,4.712868487,,448.5,,9,1,1100409,,,,,,,,
,"2-Bromo-5,5-dimethoxybenzo(a)anthracene-6,7,12(5H)trione",1,1.5,2,0,0,,1,0.410825,2.434126453,,478,,14,4,172201,,,,,,,,
,"pseudo-gem-14,17-bis(Dimethylamino)(3)(2,5)-p-benzochinono(3)paracyclophane",2,2.5,0,2,0,,1,0.2361225,4.235089837,,451.5,178-179C,6,12,1117485,,,,,,,,
,"pseudo-gem-14,17-Dimethoxy(3)(2,5)-p-benzoquinone(3)paracyclophane",2,2.5,2,0,0,,1,0.41739,2.39584082,,495.5,222-223C,6,12,1122081,,,,,,,,
,"pseudo-gem-16,19-Dimethoxy(4)(2,5)-p-benzoquinone(4)paracyclophane",2,2.5,2,0,0,,1,0.46443,2.153177013,,460.5,187-188C,6,14,1122117,,,,,,,,
,"12,15-Dimethoxy(2)(2,6)-p-benzoquinono(2)paracyclophane",2,2.5,2,0,0,,1,0.3793675,2.635966444,,415,,6,10,1135937,,,,,,,,
,"2,5-bis(4-Ethyl-3,5-dimethylpyrrol-2-yl)cyclohexadiene-1,4-dione",2,3.5,2,0,0,,3,0.46304,2.159640636,,520.5,,16,1,210221,,,,,,,,
,"7-(Dicyanomethylene)-7H-benzocycloheptene-1,4-dione",2,1,0,0,1,,1,0.27512,3.634777552,,503,,11,1,1201754,,,,,,,,
,"2,5-bis(2-Phenylvinyl)-1,4-benzoquinone",2,3.5,0,0,4,,3,0.3999275,2.500453207,,455.5,180-185C,18,1,1204510,,,,,,,,
,"2,5-bis(o-Tolylvinyl)-1,4-benzoquinone",2,3.5,0,0,4,,3,0.44725,2.23588597,,415.5,140-145C,18,1,1204511,,,,,,,,
,"2,5-Dibromo-6-isopropyl-3-methyl-p-benzoquinone",2,1.5,0,1,0,,1,0.2842425,3.51812273,,343,,6,1,180797,,,,,,,,
,"2-Chloro-5-methoxy-3-methylcyclohexa-2,5-diene-1,4-dione",1,1.5,1,0,0,,1,0.20271,4.93315574,,407,133-135C,6,1,616296,,,,,,,,
,"2,6-Dimethyl-3,5-dipropynyl-cyclohexa-2,5-diene-1,4-dione",2,0.5,0,0,0,,1,0.294975,3.390117807,,379.5,106-107C,6,1,1214231,,,,,,,,
,"6-Hydroxy-6'-isopropenyl-3'-methyl-4-pentyl-1,1'-bi(cyclohexane)-2',3,6-triene-2,5-dione",1,5.5,4,0,1,,2,0.509714167,1.961883866,,323.5,50-51C,6,6,1217430,,,,,,,,
