Compound,Hm(kJ/mol),Hm (J/mol),,MW,V_m (nm3),1/Vm,(1/Vm)/10,1/(Vm^2),1/Hm,sigma,tau,Eccentricity(Ear),Eccentricity(Eal),T_m (K),,,
"cis-1,3-Dimethylcyclopentane",7.4,7400,131.8,98.19,0.2188641647,4.569044006,,20.87616313,0.1351351351,1,0,1,5,139.3,2.284522003,0.2914795,3.903152675
"(dl)-trans-1,3-Dimethylcyclopentane",7.4,7400,131.09,98.19,0.2176851544,4.593790526,,21.10291139,0.1351351351,1,0,1,5,139.3,2.296895263,0.2959638,3.913992675
"(dl)-trans-1,2-Dimethylcyclopentane",7.4,7400,130.75,98.19,0.217120558,4.605736138,,21.21280537,0.1351351351,1,0,1,5,155.58,2.302868069,0.3004481,3.913843802
"cis-1,2-Dimethylcyclopentane",8.21,8210,127.02,98.19,0.2109266025,4.740985672,,22.47694514,0.1218026797,1,0,1,5,219,2.370492836,0.3049324,4.018145602
Ethylcyclopentane,6.87,6870,128.19,98.19,0.2128694786,4.69771433,,22.06851993,0.1455604076,1,0.5,1,5,134.7,2.598857165,0.3094167,4.048292872
Methylcyclohexane,6.75,6750,127.69,98.19,0.2120391896,4.716109327,,22.24168719,0.1481481481,4,0.5,1,6,146.6,2.608054664,0.313901,4.05438886
Cycloheptane,7.6,7600,121.07,98.19,0.2010461641,4.973981994,,24.74049688,0.1315789474,2,0,1,7,265,2.486990997,0.3183853,4.182160619
"2,2-Dimethylpentane",5.86,5860,148.68,100.2,0.2468947194,4.050309389,,16.40500615,0.1706484642,1,2,1,1,148.1,3.025154695,0.3228696,3.719318103
"2,2,3-Trimethylbutane",4.58,4580,145.23,100.2,0.2411657257,4.1465262,,17.19367953,0.2183406114,1,1,1,1,248,2.5732631,0.3273539,3.631512388
"2,4-Dimethylpentane",6.85,6850,148.9,100.2,0.2472600465,4.04432505,,16.35656511,0.1459854015,2,2,1,1,154,3.022162525,0.3318382,3.705132478
"3,3-Dimethylpentane",7.07,7070,144.6,100.2,0.2401195616,4.164591978,,17.34382634,0.1414427157,1,2,1,1,138.1,3.082295989,0.3363225,3.800591485
2-Methylhexane,9.18,9180,147.58,100.2,0.2450680837,4.080498713,,16.65046974,0.1089324619,1,3,1,1,154.8,3.540249356,0.3408068,3.896378058
3-Ethylpentane,9.55,9550,143.57,100.2,0.2384091664,4.194469597,,17.5935752,0.1047120419,3,3,1,1,154.6,3.597234798,0.3452911,3.988249736
n-Heptane,14.04,14040,146.51,100.2,0.2432912654,4.110299638,,16.89456312,0.07122507123,2,4,1,1,182.4,4.055149819,0.3497754,4.091009588
Toluene,6.62,6620,106.27,92.14,0.1764696114,5.666698033,,32.1114666,0.1510574018,2,0,6,1,178.1,2.833349017,0.3542597,4.662956661
Cycloheptatriene,3.51,3510,103.76,92.14,0.1723015609,5.803777949,,33.68383848,0.2849002849,2,0,1,7,193.5,2.901888975,0.358744,4.762742691
Ethylbenzene,9.18,9180,122.46,106.17,0.2033543673,4.917524089,,24.18204317,0.1089324619,1,0.5,6,1,178.1,2.708762045,0.3632283,4.115239207
"1,4-Dimethylbenzene",17.11,17110,123.31,106.16,0.2047658585,4.883626632,,23.84980908,0.05844535359,4,0,6,1,286.4,2.441813316,0.3677126,3.985741109
"1,3-Dimethylbenzene",11.57,11570,122.26,106.16,0.2030222517,4.925568461,,24.26122466,0.08643042351,2,0,6,1,225.3,2.46278423,0.3721969,4.008927805
"1,2-Dimethylbenzene",13.6,13600,118.36,106.16,0.196545998,5.087867523,,25.88639593,0.07352941176,2,0,6,1,247.8,2.543933761,0.3766812,4.129615501
Cyclooctene,11.61,11610,130.26,110.2,0.2163068748,4.623061569,,21.37269827,0.08613264427,2,0,1,8,259.2,2.311530785,0.3811655,3.741985782
"2,4,4-Trimethyl-1-pentene",8.77,8770,156.95,112.21,0.2606276984,3.83689073,,14.72173047,0.1140250855,1,1.5,1,1,179.5,2.668445365,0.3856498,3.386280008
"2,4,4-Trimethyl-2-pentene",6.8,6800,155.43,112.21,0.2581036201,3.874412919,,15.01107547,0.1470588235,1,1,1,1,166.7,2.437206459,0.3901341,3.31370967
1-Octene,15.31,15310,156.95,112.21,0.2606276984,3.83689073,,14.72173047,0.06531678641,1,4.5,1,1,171.5,4.168445365,0.3946184,3.967728289
"cis-1,3-Dimethylcyclohexane",10.82,10820,146.5,112.21,0.2432746596,4.110580205,,16.89686962,0.09242144177,1,0,1,6,197.6,2.055290102,0.3991027,3.290308376
"trans-1,3-Dimethylcyclohexane",9.87,9870,142.94,112.21,0.2373630023,4.212956485,,17.74900235,0.1013171226,2,0,1,6,183.1,2.106478243,0.403587,3.362809251
"cis-1,4-Dimethylcyclohexane",9.31,9310,143.32,112.21,0.2379940219,4.201786213,,17.65500738,0.1074113856,2,0,1,6,185.7,2.100893106,0.4080713,3.344472032
"trans-1,4-Dimethylcyclohexane",12.33,12330,147.06,112.21,0.2442045832,4.094927241,,16.76842911,0.08110300081,2,0,1,6,236.2,2.04746362,0.4125556,3.250234658
Propylcyclopentane,10.03,10030,144.61,112.21,0.2401361674,4.16430399,,17.34142772,0.09970089731,1,1.5,1,5,155.7,2.832151995,0.4170399,3.608743455
"1,trans-2-Dimethylcyclohexane",10.5,10500,144.61,112.21,0.2401361674,4.16430399,,17.34142772,0.09523809524,2,0,1,6,185,2.082151995,0.4215242,3.286626536
"1,1-Dimethylcyclohexane",7.99,7990,143.69,112.21,0.2386084357,4.190966664,,17.56420158,0.1251564456,2,0,1,6,239.8,2.095483332,0.4260085,3.298272953
Ethylcyclohexane,8.33,8330,142.41,112.21,0.236482896,4.22863563,,17.88135929,0.1200480192,1,0.5,1,6,161.7,2.364317815,0.4304928,3.426060233
Cyclooctane,9.21,9210,134.23,112.21,0.222899369,4.486329435,,20.1271518,0.108577633,12,0,1,8,287.8,2.243164717,0.4349771,3.510604151
3-Ethyl-2-methylpentane,11.34,11340,158.87,114.23,0.263816008,3.790520551,,14.36804605,0.08818342152,2,3,1,1,158.1,3.395260276,0.4394614,3.616818917
"2,2,4-Trimethylpentane",9.04,9040,165.07,114.23,0.2741115908,3.64814927,,13.3089931,0.110619469,1,2,1,1,165.8,2.824074635,0.4439457,3.282304879
"2,2-Dimethylhexane",6.78,6780,164.36,114.23,0.2729325805,3.663908494,,13.42422545,0.1474926254,1,3,1,1,151.9,3.331954247,0.44843,3.515050251
"2,5-Dimethylhexane",12.95,12950,164.6,114.23,0.2733311192,3.658566221,,13.38510679,0.07722007722,2,3,1,1,182,3.329283111,0.4529143,3.509429192
"2,2,3-Trimethylpentane",8.62,8620,159.54,114.23,0.2649285952,3.774601981,,14.24762011,0.1160092807,1,2,1,1,160.8,2.88730099,0.4573986,3.36875175
"3,3-Dimethylhexane",7.11,7110,160.89,114.23,0.2671703753,3.742929952,,14.00952463,0.1406469761,1,3,1,1,146.9,3.371464976,0.4618829,3.571356632
"2,3,4-Trimethylpentane",9.27,9270,158.87,114.23,0.263816008,3.790520551,,14.36804605,0.1078748652,2,2,1,1,163.8,2.895260276,0.4663672,3.373000523
2-Methylheptane,11.92,11920,163.65,114.23,0.2717535702,3.679804461,,13.54096087,0.08389261745,1,4,1,1,164,3.83990223,0.4708515,3.755186736
4-Methylheptane,10.84,10840,162.03,114.23,0.2690634341,3.716595692,,13.81308354,0.09225092251,2,4,1,1,152,3.858297846,0.4753358,3.783951799
3-Ethyl-3-methylpentane,10.8,10800,158.65,114.23,0.2634506808,3.795776867,,14.40792203,0.09259259259,1,3,1,1,182.1,3.397888434,0.4798201,3.604861999
3-Methylheptane,11.7,11700,161.8,114.23,0.2686815012,3.721878863,,13.85238227,0.08547008547,1,4,1,1,152.6,3.860939431,0.4843044,3.789226508
n-Octane,20.74,20740,162.49,114.23,0.2698272999,3.70607422,,13.73498612,0.04821600771,2,5,1,1,216.2,4.35303711,0.4887887,4.02230237
Styrene,10.96,10960,115.15,104.15,0.191215543,5.229700391,,27.34976618,0.09124087591,1,0,6,1,242,2.614850195,0.493273,3.93986539
Cyclooctatetraene,11.27,11270,112.59,104.15,0.1869644636,5.348610001,,28.60762894,0.08873114463,2,0,1,8,268.5,2.674305,0.4977573,4.017455164
a-Methylstyrene,11.92,11920,130.41,118.18,0.2165559615,4.617744038,,21.32356,0.08389261745,1,0,6,1,249.8,2.308872019,0.5022416,3.458132461
Indane,9.38,9380,122.61,118.18,0.203603454,4.911508034,,24.12291116,0.1066098081,1,0,5,4,221.8,2.455754017,0.5067259,3.667113869
Isopropylbenzene,7.32,7320,139.44,120.19,0.2315509797,4.318703385,,18.65119893,0.1366120219,2,0.5,6,1,177,2.409351692,0.5112102,3.342623324
Propylbenzene,9.27,9270,139.44,120.19,0.2315509797,4.318703385,,18.65119893,0.1078748652,1,1.5,6,1,173.5,2.909351692,0.5156945,3.591908469
4-Ethyltoluene,12.7,12700,139.61,120.19,0.231833278,4.313444596,,18.60580428,0.07874015748,1,0.5,6,1,210.7,2.406722298,0.5201788,3.321608079
2-Ethyltoluene,9.96,9960,135.51,120.19,0.2250249087,4.443952476,,19.74871361,0.1004016064,1,0.5,6,1,192.2,2.471976238,0.5246631,3.40932931
"1,3,5-Trimethylbenzene",9.51,9510,138.96,120.19,0.2307539024,4.333621186,,18.78027258,0.1051524711,6,0,6,1,225,2.166810593,0.5291474,3.187058994
"1,2,3-Trimethylbenzene",10.17,10170,134.45,120.19,0.2232646961,4.478988472,,20.06133773,0.09832841691,2,0,6,1,247.8,2.239494236,0.5336317,3.283923355
"1,2,4-Trimethylbenzene",12.65,12650,137.21,120.19,0.2278478911,4.388892938,,19.26238122,0.0790513834,1,0,6,1,228.6,2.194446469,0.538116,3.208026182
1-Nonene,19.97,19970,173.17,126.24,0.2875622717,3.477507651,,12.09305947,0.05007511267,1,5.5,1,1,191.7,4.488753826,0.5426003,4.026210129
