,InChI Key,SMILES,Molecular Weight,H Bond Donors,H Bond Acceptors,Rotatable Bonds,TPSA,Lipinski Number,Veber Number,LogP,Type of Substance,mp_mean,mp_std
245,CHRDDMHFEJSYTL-UHFFFAOYSA-N,CC(=O)NC1=CC(=O)C2=CC=CC=C2C1=O,215.208,1.0,4.0,2.0,63.24,4.0,2.0,1.4480000000000002,isocyclic,202.66666666666666,4.714045207910316
258,CLGGPIKRNAZOTF-UHFFFAOYSA-N,COC1=CC=CC2=C1C(=O)C=C(O)C2=O,204.182,1.0,3.0,1.0,63.6,4.0,2.0,1.703,isocyclic,171.75,5.717298313014636
261,CMAOBDBXSCAURX-OCAPTIKFSA-N,O[C@H]1CC[C@@H](O)C2=C1C(=O)C=CC2=O,194.187,2.0,4.0,0.0,74.6,4.0,2.0,-1.228,isocyclic,120.0,
263,CMHDSBUKRXBJID-UHFFFAOYSA-N,COC1=C(N)C(=O)C2=C(C=NC=N2)C1=O,205.173,1.0,6.0,1.0,95.17,4.0,2.0,-0.5870000000000001,heterocyclic,212.0,
265,CMYZVVRBSAQGIQ-UHFFFAOYSA-N,CCC1=CC=CC2=C1C(=O)C=CC2=O,186.21,0.0,2.0,1.0,34.14,4.0,2.0,2.341,isocyclic,53.5,
267,CNTZMEBRQGEJNE-UHFFFAOYSA-N,CC1=C(C)C=C(C=C1)C1=CC(=O)C=CC1=O,212.248,0.0,2.0,1.0,34.14,4.0,2.0,2.504,,147.5,
268,CNZJAOOYWYLTEC-UHFFFAOYSA-N,COC1=C(C)C(=O)C2=CC=CC=C2C1=O,202.21,0.0,3.0,1.0,43.37,4.0,2.0,1.861,isocyclic,94.375,3.990222424878092
271,COLKRMHZCBZMBE-UHFFFAOYSA-N,COC1=CC(=O)C2=C(C=CC(C)O2)C1=O,206.198,0.0,4.0,1.0,52.6,4.0,2.0,0.986,heterocyclic,148.0,
276,CQCJVAZZOHRDIO-UHFFFAOYSA-N,CN(C)C1=CC(=O)C2=C(N(C)N=C2)C1=O,205.216,0.0,5.0,1.0,55.2,4.0,2.0,0.79,heterocyclic,168.0,
278,CQDYYFBBSBVPHU-UHFFFAOYSA-N,COC1=CC=C(O)C2=C1C(=O)C=CC2=O,204.182,1.0,2.0,1.0,63.6,4.0,2.0,0.949,isocyclic,145.0,
283,CRJFIHMEFSTVQX-UHFFFAOYSA-N,CCOC1=CC(=O)C(C)=CC1=O,166.17700000000005,0.0,3.0,2.0,43.37,4.0,2.0,0.616,isocyclic,99.5,2.1213203435596424
285,CRVNTQFQVBUJIK-UHFFFAOYSA-N,CCCC1=CC(=O)C2=C(N=CC=C2)C1=O,201.225,0.0,3.0,2.0,47.03,4.0,2.0,1.491,heterocyclic,76.5,
287,CRXUROREGJAECD-UHFFFAOYSA-N,COC1=C2C(=O)C=CC(=O)C2=CC(C)=C1,202.21,0.0,2.0,1.0,43.37,4.0,2.0,1.7919999999999998,isocyclic,167.25,1.9472202409246537
290,CSFWPUWCSPOLJW-UHFFFAOYSA-N,OC1=CC(=O)C2=C(C=CC=C2)C1=O,174.15599999999995,1.0,3.0,0.0,54.37,4.0,2.0,1.788,isocyclic,192.15568181818182,1.931827205861276
